step,patch_idx,accuracy
10,0,1.8135194778442383
10,1,1.9353063106536865
10,0,2.431658983230591
10,1,3.570582866668701
10,0,3.115939140319824
10,1,0.671063244342804
10,0,1.1066243648529053
10,1,3.52282977104187
10,0,1.8888895511627197
10,1,5.037030220031738
10,0,1.3560646772384644
10,1,1.4289979934692383
10,0,1.8768112659454346
10,1,1.784587025642395
10,0,1.0914180278778076
10,1,1.288582682609558
10,0,3.055455207824707
10,1,3.6121714115142822
10,0,1.1597568988800049
10,1,3.058659553527832
10,0,0.9792022109031677
10,1,1.949406385421753
10,0,4.539495944976807
10,1,2.4471821784973145
10,0,3.0246968269348145
10,1,0.618088960647583
10,0,1.6271127462387085
10,1,1.0051223039627075
10,0,4.224997043609619
10,1,2.1041204929351807
10,0,1.0582231283187866
10,1,1.6964731216430664
10,0,1.7247967720031738
10,1,2.06528377532959
10,0,4.667340278625488
10,1,4.612934589385986
10,0,5.005180835723877
10,1,1.076448917388916
10,0,0.6409778594970703
10,1,3.8764145374298096
10,0,1.1751925945281982
10,1,1.5208760499954224
10,0,4.510706901550293
10,1,1.1581635475158691
10,0,2.267371416091919
10,1,2.7921037673950195
10,0,0.9501608610153198
10,1,3.3796920776367188
10,0,3.0573227405548096
10,1,2.159198760986328
10,0,5.994272232055664
10,1,1.8923537731170654
10,0,6.444710731506348
10,1,1.2797547578811646
10,0,1.9482630491256714
10,1,4.2919816970825195
10,0,2.440770387649536
10,1,2.5434718132019043
10,0,0.6979532241821289
10,1,2.0335288047790527
10,0,4.923830032348633
10,1,2.3449716567993164
10,0,3.019890785217285
10,1,6.910204887390137
10,0,5.869150161743164
10,1,2.858724355697632
10,0,5.546302318572998
10,1,4.115046501159668
10,0,1.1515895128250122
10,1,4.5973100662231445
10,0,0.2656744420528412
10,1,2.354428291320801
10,0,2.4758176803588867
10,1,6.354693412780762
10,0,5.045633792877197
10,1,0.4871166944503784
10,0,5.048383712768555
10,1,0.1916380226612091
10,0,2.246612071990967
10,1,2.6573832035064697
10,0,0.9197048544883728
10,1,2.9831199645996094
10,0,5.320229530334473
10,1,4.8776164054870605
10,0,3.5349855422973633
10,1,2.439540147781372
10,0,0.19653484225273132
10,1,0.18807640671730042
10,0,0.3096954822540283
10,1,4.2180962562561035
10,0,1.7021617889404297
10,1,0.8564612865447998
10,0,1.0575809478759766
10,1,2.58231258392334
10,0,3.792290687561035
10,1,1.5524959564208984
10,0,2.331666946411133
10,1,0.3178430497646332
10,0,2.294435977935791
10,1,1.0970951318740845
10,0,2.4981908798217773
10,1,1.5367984771728516
10,0,1.8495348691940308
10,1,3.895905017852783
10,0,2.070915460586548
10,1,0.5292975306510925
10,0,1.7034581899642944
10,1,1.4010839462280273
10,0,1.8161735534667969
10,1,2.6451222896575928
10,0,5.236501693725586
10,1,3.6143722534179688
10,0,0.6466466188430786
10,1,3.3901517391204834
10,0,0.2527677118778229
10,1,2.62534236907959
10,0,3.067073106765747
10,1,3.0952038764953613
10,0,3.163867235183716
10,1,4.119831085205078
10,0,1.7587695121765137
10,1,1.2448887825012207
10,0,2.6638200283050537
10,1,0.45473408699035645
10,0,2.42526912689209
10,1,0.2634047865867615
10,0,3.3199453353881836
10,1,3.749223232269287
